Altium Designer Pick and Place Locations
C:\Users\james\chronos\pcb\Project Outputs for chronos-pcb\Pick Place\Pick Place for pcb.csv

========================================================================================================================
File Design Information:

Date:       13/09/26
Time:       16:00
Revision:   afaf08b71be3d8c5a9c05ee6a22a92fe1f8dfb1f
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"USB1","MicroXNJ","TopLayer","MicroXNJ","3.1568","45.7578","180","USB Connectors. -20C~+85C 1 1.8A 30V 5,000 times 5P Black Female Micro-B Surface Mount, Right Angle USB 2.0 SMD USB Connectors ROHS"
"U2","LT3757AEMSE#PBF","TopLayer","LT-MSE-10-EDP_N","4.7000","56.4250","90","Boost, Flyback, SEPIC and Inverting Controller-Improved Load Transient, 10-pin SOP (MSE-10-EDP), -40 to 125 degC, Pb-Free"
"SW2","SS12D07VG4 087","TopLayer","SS12D07VG4_087","110.9000","16.5000","90","Slide Switches. SS12D07VG4 087"
"C14","CL05B104KO5NNNC","TopLayer","CAPC1050X55X23ML05T13","39.7000","61.3000","90","Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"U20","BH-AAA-A1AJ024","TopLayer","BH-AAA-A1AJ024","111.3000","64.5000","180","Battery Connectors. -10~100C Battery holder Nickel plated No. 7 - ROHS"
"H1_tube1","2.54-1_6P","TopLayer","2.54-1_6P","158.5186","112.4697","270","Pin Headers. -40C~+105C 1 1x6P 2.54mm 3.3mm 3A 6P Brass Square Hole Through Hole Top ,P=2.54mm Female Headers ROHS"
"U19_tube1","HMT-2.54-1_5PM","TopLayer","HMT-2.54-1_5PM","149.6303","102.3045","180","Female Headers. -40C~+105C 1 1x5P 2.54mm 2.54mm 3.2mm 3A 5P 8.5mm Brass Gold Square Hole Through Hole Top ,P=2.54mm Female Headers ROHS"
"U1","DA2032-ALD","TopLayer","DA2032-ALD","20.9000","64.8000","270","Audio Transformers. SMD-12 Audio Transformers ROHS"
"Q1","IRFR220NTRPBF","TopLayer","FP-PG-TO252-3-MFG","8.3000","67.6750","0","MOSFET N-CH 200V 5A DPAK"
"X3","X49SM4MSD2SC","TopLayer","X49SM4MSD2SC","11.1900","28.4650","90","Crystals. -20C~+70C 120ohm 20pF 4MHz Crystal Oscillator +/-20ppm +/-30ppm HC-49S-SMD Crystals ROHS"
"X2","Q13FC13500004","TopLayer","Q13FC13500004","12.6143","37.2649","0","Crystals. -40C~+85C 12.5pF 32.768kHz 70kohm Crystal Oscillator +/-20ppm SMD3215-2P Crystals ROHS"
"X1","TZ0308D","TopLayer","TZ0308D","20.1485","6.4230","0","Crystals. -30C~+85C 30ohm 40MHz 9pF Crystal Oscillator +/-10ppm SMD3225-4P Crystals ROHS"
"U16","TCK106AG,LF","TopLayer","TCK106AG,LF","17.8485","17.8230","180","Power Distribution Switches. -40C~+85C 1 1.1V~5.5V 1A 34mohm Active High Load Switch WCSPD-4(0.79x0.79) Power Distribution Switches ROHS"
"U15","NRF7002-QFAA-R7","TopLayer","IC_NRF7002-QFAA-R7","20.2485","13.7480","0","IC RF TxRx Only WiFi 802.11a/b/g/-c/ax, Bluetooth, GPS 2.4GHz, 5GHz 48-VFQFN Exposed Pad"
